Epoch,im_loss,re_loss,all_loss,PPI_psnr,psnr
1,41688.2345703125,0.0,41688.2345703125,27.674040116114842,13.815256040511981
2,18414.763125,0.0,18414.763125,26.67430663441548,14.980402431850814
3,18117.418125,0.0,18117.418125,27.931547690166695,15.9704928656719
4,12768.9425,0.0,12768.9425,28.67836238557233,13.833113677904713
5,8845.28125,0.0,8845.28125,31.613384959418024,17.271852739258915
6,8660.458125,0.0,8660.458125,29.65334992128307,12.798084663321225
7,6995.758125,0.0,6995.758125,32.05583397335602,15.24807908235459
8,7408.6678125,0.0,7408.6678125,31.65100949613345,16.4248042278038
9,6554.8225,0.0,6554.8225,33.3846116274323,18.631545247359448
10,5806.22921875,0.0,5806.22921875,33.912019077002206,18.54189755877591
11,4885.34421875,0.0,4885.34421875,34.15645458821556,16.807396919913806
12,4811.70375,0.0,4811.70375,33.51922410183786,16.718668099332053
13,5325.4159375,0.0,5325.4159375,34.091918563417295,15.914492587670077
14,3540.5928125,0.0,3540.5928125,36.054107464845366,17.44663418877935
15,2981.257421875,0.0,2981.257421875,35.83986687009939,18.967251191361616
16,4045.790625,0.0,4045.790625,36.81881356827657,18.67282383342507
17,3141.02,0.0,3141.02,35.524463302942,16.86618801954431
18,3357.1853125,0.0,3357.1853125,37.45423288559866,20.501628526518445
19,2453.711171875,0.0,2453.711171875,36.7514416590322,18.385302626922297
